Entity,Code,Year,"6.1.1 - Proportion of population using safely managed drinking water services, by urban/rural (%) - SH_H2O_SAFE - All areas"
Afghanistan,AFG,2000,11.09
Afghanistan,AFG,2001,11.11
Afghanistan,AFG,2002,12.01
Afghanistan,AFG,2003,12.91
Afghanistan,AFG,2004,13.82
Afghanistan,AFG,2005,14.73
Afghanistan,AFG,2006,15.65
Afghanistan,AFG,2007,16.56
Afghanistan,AFG,2008,17.48
Afghanistan,AFG,2009,18.39
Afghanistan,AFG,2010,19.3
Afghanistan,AFG,2011,20.21
Afghanistan,AFG,2012,21.12
Afghanistan,AFG,2013,22.03
Afghanistan,AFG,2014,22.94
Afghanistan,AFG,2015,23.85
Afghanistan,AFG,2016,24.76
Afghanistan,AFG,2017,25.67
Afghanistan,AFG,2018,26.58
Afghanistan,AFG,2019,27.49
Afghanistan,AFG,2020,28.4
Afghanistan,AFG,2021,29.31
Afghanistan,AFG,2022,30.03
Algeria,DZA,2000,70.08
Algeria,DZA,2001,70.64
Algeria,DZA,2002,71.19
Algeria,DZA,2003,71.73
Algeria,DZA,2004,72.25
Algeria,DZA,2005,72.75
Algeria,DZA,2006,73.24
Algeria,DZA,2007,73.72
Algeria,DZA,2008,74.18
Algeria,DZA,2009,74.63
Algeria,DZA,2010,75.06
Algeria,DZA,2011,75.47
Algeria,DZA,2012,75.87
Algeria,DZA,2013,76.25
Algeria,DZA,2014,76.62
Algeria,DZA,2015,76.97
Algeria,DZA,2016,76.39
Algeria,DZA,2017,75.73
Algeria,DZA,2018,75.04
Algeria,DZA,2019,73.95
Algeria,DZA,2020,72.25
Algeria,DZA,2021,70.55
Algeria,DZA,2022,70.6
American Samoa,ASM,2000,80.58
American Samoa,ASM,2001,81.62
American Samoa,ASM,2002,82.66
American Samoa,ASM,2003,83.71
American Samoa,ASM,2004,84.77
American Samoa,ASM,2005,85.83
American Samoa,ASM,2006,86.89
American Samoa,ASM,2007,87.56
American Samoa,ASM,2008,87.79
American Samoa,ASM,2009,88.02
American Samoa,ASM,2010,88.25
American Samoa,ASM,2011,88.48
American Samoa,ASM,2012,88.71
American Samoa,ASM,2013,88.94
American Samoa,ASM,2014,89.17
American Samoa,ASM,2015,89.4
American Samoa,ASM,2016,89.62
American Samoa,ASM,2017,89.85
American Samoa,ASM,2018,89.85
American Samoa,ASM,2019,89.85
American Samoa,ASM,2020,89.85
American Samoa,ASM,2021,89.85
Andorra,AND,2000,90.64
Andorra,AND,2001,90.64
Andorra,AND,2002,90.64
Andorra,AND,2003,90.64
Andorra,AND,2004,90.64
Andorra,AND,2005,90.64
Andorra,AND,2006,90.64
Andorra,AND,2007,90.64
Andorra,AND,2008,90.64
Andorra,AND,2009,90.64
Andorra,AND,2010,90.64
Andorra,AND,2011,90.64
Andorra,AND,2012,90.64
Andorra,AND,2013,90.64
Andorra,AND,2014,90.64
Andorra,AND,2015,90.64
Andorra,AND,2016,90.64
Andorra,AND,2017,90.64
Andorra,AND,2018,90.64
Andorra,AND,2019,90.64
Andorra,AND,2020,90.64
Andorra,AND,2021,90.64
Andorra,AND,2022,90.64
Armenia,ARM,2000,82.35
Armenia,ARM,2001,82.46
Armenia,ARM,2002,82.57
Armenia,ARM,2003,82.69
Armenia,ARM,2004,82.81
Armenia,ARM,2005,82.93
Armenia,ARM,2006,83.05
Armenia,ARM,2007,83.17
Armenia,ARM,2008,83.29
Armenia,ARM,2009,83.27
Armenia,ARM,2010,83.24
Armenia,ARM,2011,83.22
Armenia,ARM,2012,83.19
Armenia,ARM,2013,83.17
Armenia,ARM,2014,83.15
Armenia,ARM,2015,83.08
Armenia,ARM,2016,82.93
Armenia,ARM,2017,82.79
Armenia,ARM,2018,82.96
Armenia,ARM,2019,82.82
Armenia,ARM,2020,82.69
Armenia,ARM,2021,82.55
Armenia,ARM,2022,82.41
Asia (UN),,2000,56.2
Asia (UN),,2001,56.74
Asia (UN),,2002,57.85
Asia (UN),,2003,58.79
Asia (UN),,2004,59.74
Asia (UN),,2005,60.41
Asia (UN),,2006,60.83
Asia (UN),,2007,61.26
Asia (UN),,2008,61.67
Asia (UN),,2009,62.52
Asia (UN),,2010,63.38
Asia (UN),,2011,64.39
Asia (UN),,2012,65.47
Asia (UN),,2013,66.53
Asia (UN),,2014,67.6
Asia (UN),,2015,68.7
Asia (UN),,2016,69.79
Asia (UN),,2017,70.86
Asia (UN),,2018,71.92
Asia (UN),,2019,72.95
Asia (UN),,2020,73.95
Asia (UN),,2021,74.92
Asia (UN),,2022,75.69
Austria,AUT,2000,96.72
Austria,AUT,2001,96.89
Austria,AUT,2002,97.06
Austria,AUT,2003,97.23
Austria,AUT,2004,97.4
Austria,AUT,2005,97.58
Austria,AUT,2006,97.75
Austria,AUT,2007,97.92
Austria,AUT,2008,98.09
Austria,AUT,2009,98.26
